"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"28.11.2022","134,900","136,300","137,100","132,900","56,57K","-1,17%"
"27.11.2022","136,500","138,900","139,700","136,200","50,13K","-1,66%"
"26.11.2022","138,800","136,500","139,400","135,600","62,73K","1,83%"
"25.11.2022","136,300","136,700","138,200","133,800","76,15K","-0,29%"
"24.11.2022","136,700","135,100","137,400","133,200","89,91K","1,26%"
"23.11.2022","135,000","134,100","137,000","133,000","117,68K","0,82%"
"22.11.2022","133,900","126,200","134,200","125,400","89,61K","6,10%"
"21.11.2022","126,200","129,600","135,600","126,100","176,91K","-2,77%"
"20.11.2022","129,800","134,400","134,500","128,700","60,79K","-3,42%"
"19.11.2022","134,400","133,400","134,600","132,000","54,14K","1,13%"
"18.11.2022","132,900","134,200","134,400","130,900","70,96K","0,38%"
"17.11.2022","132,400","132,600","133,200","130,400","74,15K","0,46%"
"16.11.2022","131,800","129,100","132,400","126,800","67,92K","2,09%"
"15.11.2022","129,100","129,800","132,600","127,600","65,49K","-0,54%"
"14.11.2022","129,800","127,200","130,800","122,000","85,33K","1,96%"
"13.11.2022","127,300","128,600","131,400","126,300","67,26K","-0,93%"
"12.11.2022","128,500","128,400","129,900","124,900","50,02K","0,08%"
"11.11.2022","128,400","133,300","134,700","122,900","112,66K","-3,68%"
"10.11.2022","133,300","118,700","134,900","117,700","115,68K","11,64%"
"09.11.2022","119,400","138,800","140,300","115,800","117,95K","-13,85%"
"08.11.2022","138,600","155,000","157,200","128,800","117,85K","-10,70%"
"07.11.2022","155,200","154,700","159,500","153,200","65,13K","0,19%"
"06.11.2022","154,900","157,300","160,500","154,300","49,41K","-1,53%"
"05.11.2022","157,300","158,600","162,000","156,800","74,52K","-0,76%"
"04.11.2022","158,500","149,200","158,600","148,900","57,98K","6,09%"
"03.11.2022","149,400","146,800","150,400","146,700","44,53K","1,70%"
"02.11.2022","146,900","149,700","151,300","144,900","74,72K","-1,87%"
"01.11.2022","149,700","149,500","151,200","148,400","55,81K","0,07%"
"31.10.2022","149,600","147,400","150,800","146,100","67,04K","1,42%"
"30.10.2022","147,500","148,800","150,600","146,100","42,47K","-1,01%"
"29.10.2022","149,000","146,800","149,400","145,900","49,54K","1,57%"
"28.10.2022","146,700","145,700","148,300","143,900","72,55K","0,62%"
"27.10.2022","145,800","146,600","149,800","145,000","75,09K","-0,75%"
"26.10.2022","146,900","143,900","148,000","143,800","61,38K","2,08%"
"25.10.2022","143,900","143,200","146,500","142,900","63,43K","0,49%"
"24.10.2022","143,200","144,600","144,800","141,400","56,48K","-0,83%"
"23.10.2022","144,400","142,900","144,900","142,000","52,73K","1,12%"
"22.10.2022","142,800","140,700","143,000","139,600","41,05K","1,49%"
"21.10.2022","140,700","141,000","143,400","137,000","55,31K","-0,28%"
"20.10.2022","141,100","144,600","148,600","140,000","75,18K","-2,69%"
"19.10.2022","145,000","146,200","148,700","144,700","63,38K","-0,75%"
"18.10.2022","146,100","143,700","148,100","142,600","112,70K","1,67%"
"17.10.2022","143,700","143,200","145,100","142,500","56,39K","0,42%"
"16.10.2022","143,100","139,700","143,500","139,700","35,71K","2,58%"
"15.10.2022","139,500","140,700","141,900","139,100","56,59K","-0,78%"
"14.10.2022","140,600","142,900","145,900","139,800","53,05K","-1,61%"
"13.10.2022","142,900","144,700","145,300","134,900","100,70K","-1,31%"
"12.10.2022","144,800","144,900","146,800","142,600","59,08K","0,00%"
"11.10.2022","144,800","142,300","145,300","140,100","66,39K","1,83%"
"10.10.2022","142,200","145,600","147,800","142,000","55,77K","-2,40%"
"09.10.2022","145,700","147,600","149,000","145,100","40,59K","-1,29%"
"08.10.2022","147,600","146,500","148,300","145,100","37,63K","0,75%"
"07.10.2022","146,500","149,200","149,400","143,700","67,95K","-1,74%"
"06.10.2022","149,100","146,300","152,700","143,400","122,24K","1,98%"
"05.10.2022","146,200","146,800","148,300","143,700","54,08K","-0,34%"
"04.10.2022","146,700","141,700","147,800","141,700","64,48K","3,53%"
"03.10.2022","141,700","137,000","141,800","136,400","60,95K","3,51%"
"02.10.2022","136,900","141,200","141,900","136,300","54,50K","-2,84%"
"01.10.2022","140,900","147,400","150,300","140,600","46,60K","-4,41%"
"30.09.2022","147,400","148,400","150,700","146,300","47,30K","-0,74%"
"29.09.2022","148,500","147,000","149,400","146,200","67,53K","0,88%"
"28.09.2022","147,200","144,300","148,100","140,200","64,34K","2,01%"
"27.09.2022","144,300","145,800","153,000","143,100","84,33K","-0,96%"
"26.09.2022","145,700","141,000","146,200","139,500","52,03K","3,33%"
"25.09.2022","141,000","141,700","144,700","140,000","34,81K","-0,49%"
"24.09.2022","141,700","141,500","144,000","140,500","46,50K","0,14%"
"23.09.2022","141,500","144,300","146,300","137,600","64,13K","-1,87%"
"22.09.2022","144,200","135,100","144,300","134,000","66,26K","6,81%"
"21.09.2022","135,000","142,400","145,200","134,500","76,48K","-5,20%"
"20.09.2022","142,400","140,500","143,400","139,500","77,94K","1,28%"
"19.09.2022","140,600","140,600","141,800","135,300","90,30K","-0,07%"
"18.09.2022","140,700","147,600","149,100","137,900","87,02K","-4,61%"
"17.09.2022","147,500","149,200","152,000","147,400","65,52K","-1,07%"
"16.09.2022","149,100","145,800","149,500","144,100","71,15K","2,33%"
"15.09.2022","145,700","149,700","151,800","143,900","90,05K","-2,80%"
"14.09.2022","149,900","145,200","151,700","144,900","88,54K","3,17%"
"13.09.2022","145,300","164,100","165,500","145,300","124,22K","-11,46%"
"12.09.2022","164,100","159,200","166,200","158,100","96,37K","3,14%"
"11.09.2022","159,100","157,900","159,500","154,500","48,55K","0,82%"
"10.09.2022","157,800","161,400","161,800","157,100","54,39K","-2,29%"
"09.09.2022","161,500","152,200","161,500","151,700","77,84K","6,18%"
"08.09.2022","152,100","149,400","152,600","147,600","68,47K","1,81%"
"07.09.2022","149,400","145,000","152,300","141,700","86,79K","3,11%"
"06.09.2022","144,900","157,600","160,000","144,600","99,50K","-8,06%"
"05.09.2022","157,600","155,600","158,000","154,700","68,00K","1,29%"
"04.09.2022","155,600","154,400","156,300","153,600","53,48K","0,78%"
"03.09.2022","154,400","153,000","154,900","151,500","43,78K","0,65%"
"02.09.2022","153,400","154,600","154,800","150,300","86,48K","-0,78%"
"01.09.2022","154,600","149,300","154,800","148,400","102,13K","3,55%"
"31.08.2022","149,300","149,000","152,500","148,300","71,52K","0,40%"
"30.08.2022","148,700","152,700","152,900","147,200","77,81K","-2,62%"
"29.08.2022","152,700","146,400","153,000","144,800","80,00K","4,45%"
"28.08.2022","146,200","145,100","149,300","144,000","64,12K","0,76%"
"27.08.2022","145,100","142,600","146,200","141,600","65,69K","1,68%"
"26.08.2022","142,700","154,100","155,500","141,500","93,08K","-7,40%"
"25.08.2022","154,100","150,500","155,400","150,300","53,75K","2,32%"
"24.08.2022","150,600","154,500","154,900","150,300","55,13K","-2,46%"
"23.08.2022","154,400","153,900","155,900","150,200","65,02K","0,39%"
